,Folder,Filename,Longitude,Lattitude,Exists
0,data/geemap/NotMorrison/,000Untitled Placemark,-124.3363757,40.26247792,True
1,data/geemap/NotMorrison/,001Untitled Placemark,-124.2375297,40.29336713,True
2,data/geemap/NotMorrison/,002Untitled Placemark,-124.0880253,40.33313018,True
3,data/geemap/NotMorrison/,003Untitled Placemark,-123.9725982,40.38893849,True
4,data/geemap/NotMorrison/,004Untitled Placemark,-123.7393531,40.46335461,True
5,data/geemap/NotMorrison/,005Untitled Placemark,-123.5905909,40.54283346,True
6,data/geemap/NotMorrison/,006Untitled Placemark,-123.393234,40.66139964,True
7,data/geemap/NotMorrison/,007Untitled Placemark,-123.1415821,40.7859847,True
8,data/geemap/NotMorrison/,008Untitled Placemark,-122.7831739,40.96127347,True
9,data/geemap/NotMorrison/,009Untitled Placemark,-122.6655999,40.97563414,True
10,data/geemap/NotMorrison/,010Untitled Placemark,-120.1741187,38.94648755,True
11,data/geemap/NotMorrison/,011Untitled Placemark,-120.0259328,38.98105149,True
12,data/geemap/NotMorrison/,012Untitled Placemark,-113.339532,41.18145973,True
13,data/geemap/NotMorrison/,013Untitled Placemark,-113.0118847,41.29166527,True
14,data/geemap/NotMorrison/,014Untitled Placemark,-112.5268842,41.04136102,True
15,data/geemap/NotMorrison/,015Untitled Placemark,-112.4585953,41.29267074,True
16,data/geemap/NotMorrison/,016Untitled Placemark,-112.4581223,41.15713113,True
17,data/geemap/NotMorrison/,017Untitled Placemark,-111.33298,41.98405293,True
18,data/geemap/NotMorrison/,018Untitled Placemark,-111.3196527,42.11532758,True
19,data/geemap/NotMorrison/,019Untitled Placemark,-111.2631272,41.99657695,True
20,data/geemap/NotMorrison/,020Untitled Placemark,-110.9487293,42.09469758,True
21,data/geemap/Morrison/,021utmoab7,-109.6922955,38.7322612,True
22,data/geemap/Morrison/,022utblan07,-109.6276165,37.53486621,True
23,data/geemap/Morrison/,023utblan09,-109.5979999,37.54037993,True
24,data/geemap/Morrison/,024utblan10,-109.5957617,37.54333251,True
25,data/geemap/Morrison/,025utblan14,-109.5944833,37.55733826,True
26,data/geemap/Morrison/,026utblan11,-109.5938576,37.54650517,True
27,data/geemap/Morrison/,027utblan13,-109.5937131,37.55415155,True
28,data/geemap/Morrison/,028utblan12,-109.5911218,37.55115972,True
29,data/geemap/NotMorrison/,029Untitled Placemark,-109.5860248,40.38143418,True
30,data/geemap/Morrison/,030utblan06,-109.5852671,37.54907017,True
31,data/geemap/Morrison/,031utblan08,-109.5819997,37.55151693,True
32,data/geemap/Morrison/,032utblan03,-109.5808414,37.55776758,True
33,data/geemap/Morrison/,033utblan04,-109.5796254,37.57288513,True
34,data/geemap/NotMorrison/,034Untitled Placemark,-109.5741022,40.3838174,True
35,data/geemap/Morrison/,035utblan02,-109.571225,37.56552929,True
36,data/geemap/NotMorrison/,036Untitled Placemark,-109.5699886,40.38770448,True
37,data/geemap/NotMorrison/,037Untitled Placemark,-109.4900507,40.46911126,True
38,data/geemap/NotMorrison/,038Untitled Placemark,-109.4504422,40.42087463,True
39,data/geemap/NotMorrison/,039Untitled Placemark,-109.4482632,40.41687952,True
40,data/geemap/NotMorrison/,040Untitled Placemark,-109.4354775,40.52402444,True
41,data/geemap/NotMorrison/,041Untitled Placemark,-109.3494974,40.3547727,True
42,data/geemap/NotMorrison/,042Untitled Placemark,-109.3472662,40.53902407,True
43,data/geemap/NotMorrison/,043Untitled Placemark,-109.3417338,40.39085022,True
44,data/geemap/NotMorrison/,044Untitled Placemark,-109.3357511,40.36606818,True
45,data/geemap/NotMorrison/,045Untitled Placemark,-109.3344475,40.45691575,True
46,data/geemap/NotMorrison/,046Untitled Placemark,-109.3334427,40.37880626,True
47,data/geemap/NotMorrison/,047Untitled Placemark,-109.3302078,40.47016824,True
48,data/geemap/NotMorrison/,048Untitled Placemark,-109.329868,40.42117962,True
49,data/geemap/NotMorrison/,049Untitled Placemark,-109.3091502,40.54827346,True
