,Folder,Filename,Latitude,Longitude,Exists
0,Downloads/Morrison/,085nwnm04,36.66582774,-108.9415518,False
1,Downloads/Morrison/,179worth1,35.48978582,-106.8720177,False
2,Downloads/NotMorrison/,278Untitled Placemark,38.86381872,-120.1215076,False
3,Downloads/Morrison/,175utmoab5,38.73491188,-109.6883642,False
4,Downloads/NotMorrison/,198Untitled Placemark,37.06072646,-109.1875045,False
14,Downloads/NotMorrison/,238Untitled Placemark,40.37740479,-109.5662322,False
20,Downloads/Morrison/,012bal2,35.53188472,-106.940651,False
22,Downloads/Morrison/,172utmoab1,38.73117768,-109.6896,False
36,Downloads/NotMorrison/,205Untitled Placemark,37.09379782,-109.2485907,False
38,Downloads/NotMorrison/,378Untitled Placemark,35.08989591,-106.3729379,False
51,Downloads/NotMorrison/,249Untitled Placemark,40.39027179,-109.314087,False
85,Downloads/Morrison/,178utmoad2,38.73217239,-109.6902048,False
111,Downloads/NotMorrison/,328Untitled Placemark,35.87133453,-106.5601236,False
122,Downloads/NotMorrison/,200Untitled Placemark,37.0499168,-109.2478673,False
130,Downloads/Morrison/,038cary1,35.49872169,-106.9102123,False
133,Downloads/Morrison/,176utmoab6,38.73581894,-109.6888037,False
139,Downloads/NotMorrison/,369Untitled Placemark,35.18261041,-106.3748813,False
147,Downloads/NotMorrison/,293Untitled Placemark,35.4343871,-107.0308427,False
153,Downloads/NotMorrison/,224Untitled Placemark,38.96233915,-109.191859,False
179,Downloads/NotMorrison/,388Untitled Placemark,35.34240331,-107.251138,False
192,Downloads/NotMorrison/,384Untitled Placemark,35.34784019,-107.3454588,False
223,Downloads/NotMorrison/,327Untitled Placemark,35.87477958,-106.57216,False
234,Downloads/Morrison/,087pel1,35.49812416,-106.8880206,False
245,Downloads/NotMorrison/,387Untitled Placemark,35.34402582,-107.2760032,False
256,Downloads/NotMorrison/,359Untitled Placemark,35.59344894,-106.872752,False
263,Downloads/Morrison/,158utblan01,37.56037407,-109.5675555,False
264,Downloads/Morrison/,080mous1,35.49908102,-106.8945495,False
269,Downloads/NotMorrison/,386Untitled Placemark,35.34203409,-107.2978194,False
274,Downloads/NotMorrison/,225Untitled Placemark,38.95972181,-109.1890174,False
278,Downloads/NotMorrison/,242Untitled Placemark,40.39156206,-109.5647922,False
302,Downloads/Morrison/,174utmoab4,38.73401921,-109.6883792,False
321,Downloads/Morrison/,162utblan05,37.57082142,-109.5657423,False
332,Downloads/NotMorrison/,229Untitled Placemark,40.45977869,-109.2488385,False
350,Downloads/Morrison/,173utmoab3,38.73286634,-109.6891729,False
358,Downloads/NotMorrison/,385Untitled Placemark,35.34507253,-107.3253204,False
364,Downloads/Morrison/,149spn1,35.5207589,-106.9407309,False
376,Downloads/Morrison/,088pel2,35.49957591,-106.8904577,False
